Time,FromRest,Run1,Run2,Run3,Run4,Run5,Run6,Run7,,MassAdded,T2,,,b
10.3,0.7153608,0.9595768,0.8610672,0.7828632,0.7397824,0.6388032,0.6495048,0.6390776,,,,,,
10.35,0.7150864,0.9743944,0.883568,0.8042664,0.7576184,0.6481328,0.659932,0.6423704,,,,,,
10.4,0.716184,0.990584,0.9063432,0.827316,0.776552,0.6593832,0.6728288,0.6470352,,,,,,
10.45,0.7159096,1.000188,0.9280208,0.8495424,0.7968576,0.6731032,0.6868232,0.6538952,,,,,,
10.5,0.7156352,1.0117128,0.9469544,0.8717688,0.8168888,0.6884696,0.7021896,0.6634992,,,,,,
10.55,0.7159096,1.0202192,0.9669856,0.8934464,0.8402128,0.7057568,0.7197512,0.6744752,,,,,,
10.6,0.7159096,1.0298232,0.9856448,0.9148496,0.861616,0.7238672,0.7384104,0.6865488,,,,,,
10.65,0.7153608,1.0325672,1.004304,0.9340576,0.8827448,0.7441728,0.758716,0.7002688,,,,,,
10.7,0.7159096,1.0388784,1.023512,0.9543632,0.9016784,0.7653016,0.7814912,0.7156352,,,,,,
10.75,0.7159096,1.0405248,1.0383296,0.975492,0.924728,0.7872536,0.8006992,0.7334712,,,,,,
10.8,0.7164584,1.0383296,1.0512264,0.9914072,0.942564,0.812224,0.8251208,0.7510328,,,,,,
10.85,0.716184,1.0380552,1.061928,1.011164,0.961772,0.835548,0.847896,0.7702408,,,,,,
10.9,0.7183792,1.031744,1.0709832,1.0268048,0.9826264,0.8591464,0.8706712,0.7924672,,,,,,
10.95,0.721672,1.0279024,1.0734528,1.0402504,0.9996392,0.8830192,0.8934464,0.8114008,,,,,,
11,0.725788,1.0172008,1.081136,1.0525984,1.0158288,0.9066176,0.9153984,0.8344504,,,,,,
11.05,0.732648,1.0081456,1.0833312,1.0627512,1.0298232,0.927472,0.9346064,0.8558536,,,,,,
11.1,0.74088,0.9968952,1.0803128,1.0676904,1.04272,0.9516192,0.956284,0.8775312,,,,,,
11.15,0.7502096,0.98098,1.0772944,1.0761968,1.053696,0.9735712,0.9793336,0.8992088,,,,,,
11.2,0.760088,0.9721992,1.0726296,1.079764,1.0627512,0.9941512,0.9985416,0.9200632,,,,,,
11.25,0.772436,0.9551864,1.0641232,1.0789408,1.0696112,1.0133592,1.013908,0.938448,,,,,,
11.3,0.787528,0.9387224,1.0583608,1.0805872,1.0745504,1.0314696,1.0333904,0.9604,,,,,,
11.35,0.7990528,0.9244536,1.0465616,1.0772944,1.0778432,1.0476592,1.0451896,0.9793336,,,,,,
11.4,0.8160656,0.906892,1.033116,1.0657696,1.078392,1.0624768,1.061928,0.9971696,,,,,,
11.45,0.8308832,0.8887816,1.0174752,1.064672,1.07702,1.0748248,1.0737272,1.0147312,,,,,,
11.5,0.8462496,0.8706712,1.0007368,1.0462872,1.0718064,1.085252,1.0830568,1.0300976,,,,,,
11.55,0.8621648,0.8522864,0.9807056,1.044092,1.0682392,1.093484,1.087996,1.044092,,,,,,
11.6,0.87808,0.8344504,0.9609488,1.0306464,1.0608304,1.0978744,1.0965024,1.0539704,,,,,,
11.65,0.8912512,0.8141448,0.9400944,1.0133592,1.050952,1.10446,1.0995208,1.0649464,,,,,,
11.7,0.9093616,0.7974064,0.9208864,0.9963464,1.039976,1.105832,1.1006184,1.072904,,,,,,
11.75,0.9236304,0.7814912,0.8992088,0.9815288,1.0265304,1.105832,1.0997952,1.0830568,,,,,,
11.8,0.9351552,0.7661248,0.8745128,0.9593024,1.009792,1.1025392,1.096228,1.0877216,,,,,,
11.85,0.9491496,0.7513072,0.8544816,0.9406432,0.996072,1.0945816,1.0910144,1.09074,,,,,,
11.9,0.9609488,0.7386848,0.8325296,0.9222584,0.9787848,1.0899168,1.08388,1.0923864,,,,,,
11.95,0.9746688,0.7268856,0.808108,0.9008552,0.9579304,1.0800384,1.074276,1.09074,,,,,,
12,0.985096,0.7178304,0.7869792,0.879452,0.9387224,1.0682392,1.060556,1.0849776,,,,,,
12.05,0.9916816,0.7087752,0.7672224,0.8577744,0.9208864,1.055068,1.0465616,1.0827824,,,,,,
12.1,1.0010112,0.7032872,0.74774,0.8336272,0.9008552,1.0375064,1.034488,1.0753736,,,,,,
